web development,0.32
augmented reality,0.3076923076923077
.Net,0.45454545454545453
javascript,0.2777777777777778
artificial intelligence,0.43478260869565216
sql,0.5555555555555556
game development,0.3181818181818182
ruby,0.5
C,0.5714285714285714
uml,0.17857142857142858
object oriented design,0.44
Ajax,0.2
user experience,0.5789473684210527
XML,0.2222222222222222
software engineering,0.2916666666666667
android development,0.4444444444444444
Entrepreneurship,0.2857142857142857
project management,0.047619047619047616
graphic design,0.3
computer science,0.36666666666666664
