object oriented
OOP
rational unified process
RUP
system sequence diagram
object relational mapping
class diagram
inheritance
encapsulation
polymorphism
design patterns
dependency injection
object-oriented
low coupling
high cohesion
use case
design pattern
software engineering
abstract data type
modeling
object and instance
software development
analysis
iterative and incremental
single responsibility principle
