net framework
microsoft
framework class library
FCL
language interoperability
common language runtime
CLR
visual studio
common language infrastructure
CLI
DLL
ado net
asp net
windows form
visual basic
vb
visual c
microsoft silverlight
windows communication foundation
WCF
Windows Presentation Foundation
WPF
