AI
artificial intelligence
human
intelligent agent
reason
knowledge
plan
natural language processing
NLP
deduction
problem solv
turing machine
machine learning
logic
game theory
reasoning
neural network
brain
knowledge representation
control theory
speech recognition
learning algorithm
statistical learning method
